start_sec,end_sec,pred_lang
0.00,2.30,hindi
2.30,2.94,english
2.94,14.57,hindi
14.57,15.00,english
15.00,15.19,hindi
15.19,15.36,english
15.36,20.91,hindi
20.91,21.09,english
21.09,21.33,hindi
21.33,21.55,english
21.55,26.11,hindi
26.11,26.27,english
26.27,32.53,hindi
32.53,32.65,english
32.65,35.59,hindi
35.59,35.80,english
35.80,39.54,hindi
39.54,39.61,english
39.61,39.96,hindi
39.96,40.00,english
40.00,67.82,hindi
67.82,67.99,english
67.99,79.21,hindi
79.21,79.39,english
79.39,79.96,hindi
79.96,80.00,english
80.00,80.09,hindi
80.09,80.22,english
80.22,82.13,hindi
82.13,82.31,english
82.31,83.39,hindi
83.39,83.63,english
83.63,86.89,hindi
86.89,87.11,english
87.11,92.47,hindi
92.47,92.57,english
92.57,93.64,hindi
93.64,93.86,english
93.86,97.02,hindi
97.02,97.68,english
97.68,98.78,hindi
98.78,98.88,english
98.88,101.90,hindi
101.90,102.02,english
102.02,104.05,hindi
104.05,104.28,english
104.28,108.94,hindi
108.94,109.09,english
109.09,111.42,hindi
111.42,111.78,english
111.78,114.93,hindi
114.93,115.00,english
115.00,116.68,hindi
116.68,116.81,english
116.81,118.07,hindi
118.07,118.21,english
118.21,118.50,hindi
118.50,118.64,english
118.64,120.99,hindi
120.99,121.07,english
121.07,125.27,hindi
125.27,125.91,english
125.91,126.63,hindi
126.63,126.83,english
126.83,132.62,hindi
132.62,133.00,english
133.00,141.12,hindi
141.12,141.20,english
141.20,141.69,hindi
141.69,142.92,english
142.92,155.80,hindi
155.80,156.08,english
156.08,159.81,hindi
159.81,160.00,english
160.00,160.90,hindi
160.90,161.74,english
161.74,164.21,hindi
164.21,164.43,english
164.43,222.48,hindi
222.48,222.75,english
222.75,229.08,hindi
229.08,229.35,english
229.35,233.13,hindi
233.13,233.22,english
233.22,233.63,hindi
233.63,234.04,english
234.04,238.02,hindi
238.02,238.47,english
238.47,244.91,hindi
244.91,245.00,english
245.00,245.72,hindi
245.72,246.10,english
246.10,247.10,hindi
247.10,247.22,english
247.22,247.70,hindi
247.70,247.88,english
247.88,260.13,hindi
260.13,260.57,english
260.57,261.83,hindi
261.83,263.17,english
263.17,268.45,hindi
268.45,268.61,english
268.61,274.93,hindi
274.93,275.08,english
275.08,280.63,hindi
280.63,280.71,english
280.71,291.47,hindi
291.47,292.11,english
292.11,293.01,hindi
293.01,293.22,english
293.22,294.94,hindi
294.94,295.00,english
295.00,297.30,hindi
297.30,297.58,english
297.58,316.00,hindi
316.00,316.15,english
316.15,319.96,hindi
319.96,320.00,english
320.00,329.22,hindi
329.22,329.32,english
329.32,331.67,hindi
331.67,331.83,english
331.83,331.94,hindi
331.94,332.28,english
332.28,339.03,hindi
339.03,339.36,english
339.36,347.44,hindi
347.44,347.83,english
347.83,351.17,hindi
351.17,351.26,english
351.26,353.58,hindi
353.58,354.05,english
354.05,354.36,hindi
354.36,355.00,english
355.00,355.09,hindi
355.09,355.23,english
355.23,355.60,hindi
355.60,355.75,english
355.75,358.24,hindi
358.24,358.43,english
358.43,367.95,hindi
367.95,368.50,english
368.50,375.00,hindi
375.00,375.71,english
375.71,377.17,hindi
377.17,377.30,english
377.30,379.95,hindi
379.95,380.00,english
380.00,381.18,hindi
381.18,381.36,english
381.36,383.80,hindi
383.80,384.00,english
384.00,387.16,hindi
387.16,387.31,english
387.31,387.60,hindi
387.60,388.07,english
388.07,391.28,hindi
391.28,391.65,english
391.65,396.90,hindi
396.90,396.99,english
396.99,397.11,hindi
397.11,397.24,english
397.24,401.40,hindi
401.40,401.96,english
401.96,407.53,hindi
407.53,407.67,english
407.67,409.54,hindi
409.54,409.74,english
409.74,412.43,hindi
412.43,412.65,english
412.65,415.99,hindi
415.99,416.06,english
416.06,416.65,hindi
416.65,416.75,english
416.75,421.04,hindi
421.04,421.46,english
421.46,421.79,hindi
421.79,421.91,english
421.91,424.47,hindi
424.47,424.76,english
424.76,430.09,hindi
430.09,430.17,english
430.17,444.94,hindi
444.94,445.15,english
445.15,445.42,hindi
445.42,445.57,english
445.57,446.71,hindi
446.71,446.95,english
446.95,447.15,hindi
447.15,447.29,english
447.29,463.81,hindi
463.81,464.14,english
464.14,468.19,hindi
468.19,468.43,english
468.43,483.37,hindi
483.37,483.97,english
483.97,484.16,hindi
484.16,484.33,english
484.33,485.40,hindi
485.40,485.46,english
485.46,490.88,hindi
490.88,491.10,english
491.10,494.13,hindi
494.13,494.21,english
494.21,494.31,hindi
494.31,494.54,english
494.54,495.83,hindi
495.83,495.91,english
495.91,496.45,hindi
496.45,496.74,english
496.74,497.47,hindi
497.47,498.20,english
498.20,499.03,hindi
499.03,499.30,english
499.30,501.73,hindi
501.73,501.85,english
501.85,516.38,hindi
516.38,516.85,english
516.85,523.54,hindi
523.54,523.74,english
523.74,525.69,hindi
525.69,525.96,english
525.96,529.81,hindi
529.81,530.00,english
530.00,531.98,hindi
531.98,532.46,english
532.46,534.08,hindi
534.08,534.27,english
534.27,535.77,hindi
535.77,536.10,english
536.10,540.94,hindi
540.94,541.04,english
541.04,544.46,hindi
544.46,544.60,english
544.60,544.80,hindi
544.80,545.00,english
545.00,547.74,hindi
547.74,548.13,english
548.13,558.17,hindi
558.17,558.56,english
558.56,558.79,hindi
558.79,559.15,english
559.15,559.91,hindi
559.91,560.00,english
560.00,560.08,hindi
560.08,560.22,english
560.22,563.40,hindi
563.40,563.65,english
563.65,580.94,hindi
580.94,581.53,english
581.53,582.19,hindi
582.19,582.47,english
582.47,582.82,hindi
582.82,582.93,english
582.93,592.41,hindi
592.41,592.74,english
592.74,594.22,hindi
594.22,594.45,english
594.45,594.65,hindi
594.65,594.75,english
594.75,599.19,hindi
599.19,599.37,english
599.37,605.91,hindi
605.91,606.88,english
606.88,607.91,hindi
607.91,608.11,english
608.11,610.01,hindi
